file,folder,active_synapses,frustrated_excluded,immune_desert
lungaca2296.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,6,23,13
lungaca1843.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,28,11,17
lungaca294.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,10,15,8
lungaca3487.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,8,20,18
lungaca4342.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,4,4,6
lungaca1140.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,2,14,7
lungaca4712.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,0,33,10
lungaca1510.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,6,21,2
lungaca1005.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,3,19,2
lungaca3038.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,3,7,3
lungaca4207.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,5,13,3
lungaca1455.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,4,22,8
lungaca3468.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,11,41,8
lungaca4657.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,15,37,25
lungaca3192.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,6,36,16
lungaca1906.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,4,12,7
lungaca2629.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,24,48,41
lungaca781.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,7,19,4
lungaca2279.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,10,16,9
lungaca3891.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,17,33,25
lungaca2783.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,8,26,23
lungaca4084.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,30,24,23
lungaca3741.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,9,40,20
lungaca2853.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,4,31,13
lungaca1286.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,37,34,26
lungaca851.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,1,18,15
lungaca3311.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,11,30,18
lungaca502.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,0,3,2
lungaca2150.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,17,37,18
lungaca3.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,2,54,21
lungaca4987.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,4,28,18
lungaca152.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,36,13,28
lungaca2500.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,32,30,18
lungaca447.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,11,52,19
lungaca2015.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,12,24,22
lungaca4968.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,16,39,17
lungaca46.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,5,32,14
lungaca2445.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,25,29,28
lungaca3604.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,16,52,17
lungaca1639.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,34,32,28
lungaca2916.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,10,29,11
lungaca1793.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,7,28,11
lungaca914.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,15,83,24
lungaca3254.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,12,25,23
lungaca4591.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,26,42,18
lungaca1269.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,10,39,10
lungaca1547.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,8,44,19
lungaca4745.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,17,29,17
lungaca3080.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,31,46,39
lungaca1117.jpeg,lc25000_data/lung_colon_image_set/lung_image_sets/lung_aca,8,23,13
