file,active_synapses,frustrated_excluded,immune_desert
lungn2037.jpeg,26,15,20
lungn2467.jpeg,11,11,9
lungn3626.jpeg,22,8,7
lungn2934.jpeg,8,6,12
lungn4419.jpeg,0,4,0
lungn3276.jpeg,23,17,14
lungn959.jpeg,22,13,14
lungn4049.jpeg,1,7,5
lungn3299.jpeg,4,6,3
lungn3763.jpeg,16,6,6
lungn2871.jpeg,0,6,1
lungn39.jpeg,0,10,5
lungn3333.jpeg,22,7,10
lungn2488.jpeg,3,6,4
lungn2172.jpeg,10,14,3
lungn2522.jpeg,3,12,4
lungn4225.jpeg,15,13,14
lungn1027.jpeg,1,6,3
lungn4675.jpeg,6,6,12
lungn1477.jpeg,5,12,7
lungn236.jpeg,19,14,12
lungn3919.jpeg,14,7,5
lungn1924.jpeg,2,5,2
lungn666.jpeg,21,12,18
lungn689.jpeg,24,9,14
lungn1861.jpeg,13,9,10
lungn373.jpeg,13,11,10
lungn723.jpeg,3,12,4
lungn1162.jpeg,49,12,14
lungn1498.jpeg,21,14,13
lungn4360.jpeg,5,4,4
lungn1532.jpeg,19,9,7
lungn4730.jpeg,13,10,11
lungn81.jpeg,19,14,9
lungn3221.jpeg,14,8,11
lungn3671.jpeg,29,17,8
lungn2963.jpeg,7,4,5
lungn2430.jpeg,16,8,7
lungn2060.jpeg,0,8,0
lungn2575.jpeg,28,25,22
lungn4858.jpeg,24,16,12
lungn148.jpeg,6,12,9
lungn2125.jpeg,18,7,13
lungn518.jpeg,16,11,9
lungn1359.jpeg,16,11,10
lungn3364.jpeg,14,13,9
lungn1709.jpeg,8,17,10
lungn3734.jpeg,7,5,3
lungn2826.jpeg,0,8,5
lungn631.jpeg,16,12,13
