Filename,Diagnosis,Confidence,Stroma_Density,Infiltration_Score,Phenotype
lungscc851.jpeg,LUNG_SCC,0.6526,0.1059,0.0000,DESERT/INTERMEDIATE
lungscc2594.jpeg,LUNG_SCC,0.9821,0.1874,0.0000,DESERT/INTERMEDIATE
lungscc4913.jpeg,LUNG_SCC,0.9994,0.2314,0.0000,DESERT/INTERMEDIATE
lungscc4440.jpeg,LUNG_SCC,0.9945,0.0343,0.0000,DESERT/INTERMEDIATE
lungscc3385.jpeg,LUNG_SCC,0.5523,0.5143,0.0000,EXCLUDED
lungscc152.jpeg,LUNG_SCC,0.8994,0.5017,0.0000,EXCLUDED
lungscc1642.jpeg,LUNG_SCC,1.0000,0.1059,0.0019,DESERT/INTERMEDIATE
lungscc4010.jpeg,LUNG_SCC,0.7423,0.1759,0.0000,DESERT/INTERMEDIATE
lungscc502.jpeg,LUNG_SCC,0.9926,0.0057,0.0000,DESERT/INTERMEDIATE
lungscc1212.jpeg,LUNG_SCC,0.9976,0.1225,0.0092,DESERT/INTERMEDIATE
lungscc1707.jpeg,LUNG_SCC,1.0000,0.0290,0.0000,DESERT/INTERMEDIATE
lungscc2828.jpeg,LUNG_SCC,0.9410,0.3913,0.0000,DESERT/INTERMEDIATE
lungscc4505.jpeg,LUNG_SCC,0.9993,0.0111,0.0000,DESERT/INTERMEDIATE
lungscc1357.jpeg,LUNG_SCC,1.0000,0.0697,0.0000,DESERT/INTERMEDIATE
lungscc447.jpeg,LUNG_SCC,0.6245,0.3123,0.0000,DESERT/INTERMEDIATE
lungscc3690.jpeg,LUNG_SCC,0.9996,0.1575,0.0000,DESERT/INTERMEDIATE
lungscc4155.jpeg,LUNG_SCC,1.0000,0.0541,0.0000,DESERT/INTERMEDIATE
lungscc2982.jpeg,LUNG_SCC,1.0000,0.1610,0.0000,DESERT/INTERMEDIATE
lungscc914.jpeg,LUNG_SCC,1.0000,0.1116,0.0000,DESERT/INTERMEDIATE
lungscc2081.jpeg,LUNG_SCC,1.0000,0.0462,0.0000,DESERT/INTERMEDIATE
lungscc4856.jpeg,LUNG_SCC,1.0000,0.1157,0.0000,DESERT/INTERMEDIATE
lungscc294.jpeg,LUNG_SCC,0.9923,0.4880,0.0000,DESERT/INTERMEDIATE
lungscc3043.jpeg,LUNG_SCC,0.9996,0.0100,0.0000,DESERT/INTERMEDIATE
lungscc4786.jpeg,LUNG_SCC,1.0000,0.1223,0.0000,DESERT/INTERMEDIATE
lungscc1584.jpeg,LUNG_SCC,0.9455,0.1323,0.0043,DESERT/INTERMEDIATE
lungscc3413.jpeg,LUNG_SCC,0.9984,0.1574,0.0024,DESERT/INTERMEDIATE
lungscc3940.jpeg,LUNG_SCC,0.9992,0.2854,0.0000,DESERT/INTERMEDIATE
lungscc2652.jpeg,LUNG_SCC,0.9572,0.1003,0.0000,DESERT/INTERMEDIATE
lungscc2202.jpeg,LUNG_SCC,0.7344,0.0507,0.0000,DESERT/INTERMEDIATE
lungscc1838.jpeg,LUNG_SCC,0.9994,0.0088,0.0000,DESERT/INTERMEDIATE
lungscc3805.jpeg,LUNG_SCC,1.0000,0.1263,0.0000,DESERT/INTERMEDIATE
